Name,Lat,Lng,Color
"Atlantis, FL",26.5909025,-80.1008762,1
"Ave Maria, FL",26.3368127,-81.43798509999999,3
"Aventura, FL",25.9564812,-80.1392121,1
"Bal Harbor, FL",25.8917613,-80.1269896,3
"Bal Harbour, FL",25.8917613,-80.1269896,0
"Bay Harbor, FL",25.8875948,-80.1311564,1
"Bay Harbor
Island, FL",25.8875948,-80.1311564,1
"Bay Harbor
Islands, FL",25.8875948,-80.1311564,0
"Bay Harbor Island, FL",25.8875948,-80.1311564,3
"Bay Harbor Islands, FL",25.8875948,-80.1311564,0
"Bay Harbour
Island, FL",25.8875948,-80.1311564,2
"Bay Harbour
Islands, FL",25.8875948,-80.1311564,3
"Belle Glade, FL",26.6845104,-80.6675577,3
"Big Coppitt Key, FL",24.5965342,-81.6600883,2
"Big Pine Key, FL",24.6698652,-81.35396899999999,3
"Boca Raton, FL",26.3683064,-80.1289321,1
"Bonita Bch, FL",26.3514726,-81.855088,0
"Bonita Beach, FL",26.3514726,-81.855088,1
"Bonita Spgs, FL",26.339806,-81.7786972,3
"Bonita Springs, FL",26.339806,-81.7786972,1
"Boynton Bch, FL",26.5317866,-80.0905465,0
"Boynton Beach, FL",26.5317866,-80.0905465,1
"Cape Coral, FL",26.5628537,-81.9495331,3
"Cape Haze, FL",26.8503433,-82.2942613,3
"Carol City, FL",25.9395677,-80.2784745,0
"Charlotte Harbor, FL",26.9583937,-82.06703329999999,0
"Clewiston, FL",26.7542312,-80.93367529999999,2
"Coconut Creek, FL",26.2517482,-80.17893509999999,1
"Cooper City, FL",26.0573112,-80.271716,3
"Coral, FL",26.5628537,-81.9495331,3
"Coral
Gables, FL",25.7491968,-80.2635411,1
"Coral Gab
Les, FL",25.7491968,-80.2635411,0
"Coral Gables, FL",25.7491968,-80.2635411,1
"Coral Springs, FL",26.271192,-80.2706044,3
"Cutler Bay, FL",25.5808323,-80.34685929999999,2
"Dania, FL",26.052311,-80.1439343,2
"Davie, FL",26.0764783,-80.25211569999999,1
"Deerfield Beach, FL",26.3184123,-80.09976569999999,0
"Deering Bay, FL",25.637787,-80.2903498,1
"Del Ray Bch, FL",26.4614625,-80.0728201,3
"Delary Bch, FL",26.4614625,-80.0728201,1
"Delray, FL",26.4614625,-80.0728201,2
"Delray Bch, FL",26.4614625,-80.0728201,1
"Delray Beach, FL",26.4614625,-80.0728201,0
"Doral, FL",25.8195424,-80.3553302,3
"Duck Key, FL",24.7709723,-80.91201389999999,0
"E Fort Myers, FL",26.640628,-81.8723084,0
"Estero, FL",26.438136,-81.8067523,1
"Fisher
Island, FL",25.7609329,-80.14004589999999,0
"Fisher Island, FL",25.7609329,-80.14004589999999,3
